"Identificador","Nombre del centro de costos","Número de centro de costo","Centro de costos principal","Compañía","Es un grupo","Deshabilitado","old_parent"
"Institución Cultural y Deportiva Pedro Echagüe - ICDPE","Institución Cultural y Deportiva Pedro Echagüe","","","Institución Cultural y Deportiva Pedro Echagüe",1,0,""
"Main - ICDPE","Main","","Institución Cultural y Deportiva Pedro Echagüe - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",1,0,"Institución Cultural y Deportiva Pedro Echagüe - ICDPE"
"Administración - ICDPE","Administración","","Main - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Main - ICDPE"
"Deportes - ICDPE","Deportes","","Main - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",1,0,"Main - ICDPE"
"Deportes - Futbol - ICDPE","Deportes - Futbol","","Deportes - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Deportes - ICDPE"
"Deportes - Basquet Masculino - ICDPE","Deportes - Basquet Masculino","","Deportes - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Deportes - ICDPE"
"Deportes - Basquet Femenino - ICDPE","Deportes - Basquet Femenino","","Deportes - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Deportes - ICDPE"
"Deportes - Voley - ICDPE","Deportes - Voley","","Deportes - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Deportes - ICDPE"
"Deportes - Patin - ICDPE","Deportes - Patin","","Deportes - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Deportes - ICDPE"
"Deportes - Boxeo - ICDPE","Deportes - Boxeo","","Deportes - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Deportes - ICDPE"
"Deportes - Gimnasia Artistica - ICDPE","Deportes - Gimnasia Artistica","","Deportes - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Deportes - ICDPE"
"Deportes - Taekwondo - ICDPE","Deportes - Taekwondo","","Deportes - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Deportes - ICDPE"
"Deportes - Shui Lu - ICDPE","Deportes - Shui Lu","","Deportes - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Deportes - ICDPE"
"Actividades - ICDPE","Actividades","","Main - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",1,0,"Main - ICDPE"
"Actividades - Iniciacion Deportiva - ICDPE","Actividades - Iniciacion Deportiva","","Actividades - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Actividades - ICDPE"
"Actividades - Danza - ICDPE","Actividades - Danza","","Actividades - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Actividades - ICDPE"
"Actividades - Yoga - ICDPE","Actividades - Yoga","","Actividades - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Actividades - ICDPE"
"Actividades - CrossFit - ICDPE","Actividades - CrossFit","","Actividades - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Actividades - ICDPE"
"Actividades - Funcional - ICDPE","Actividades - Funcional","","Actividades - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Actividades - ICDPE"
"Actividades - Ritmos Latinos - ICDPE","Actividades - Ritmos Latinos","","Actividades - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Actividades - ICDPE"
"Fitness - ICDPE","Fitness","","Main - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",1,0,"Main - ICDPE"
"Fitness - Gimnasio de Musculacion - ICDPE","Fitness - Gimnasio de Musculacion","","Fitness - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Fitness - ICDPE"
"Gastronomía - ICDPE","Gastronomía","","Main - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",1,0,"Main - ICDPE"
"Gastronomía - Buffet - ICDPE","Gastronomía - Buffet","","Gastronomía - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Gastronomía - ICDPE"
"Gastronomía - Peña de Rock - ICDPE","Gastronomía - Peña de Rock","","Gastronomía - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Gastronomía - ICDPE"
"Gastronomía - Restaurante - ICDPE","Gastronomía - Restaurante","","Gastronomía - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Gastronomía - ICDPE"
"Alquileres - ICDPE","Alquileres","","Main - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",1,0,"Main - ICDPE"
"Alquileres - Temporal - ICDPE","Alquileres - Temporal","","Alquileres - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Alquileres - ICDPE"
"Alquileres - Recurrente - ICDPE","Alquileres - Recurrente","","Alquileres - ICDPE","Institución Cultural y Deportiva Pedro Echagüe",0,0,"Alquileres - ICDPE"
