"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"ACTIVO","","","","1","","Asset","ARS"
"PASIVO","","","","1","","Liability","ARS"
"PATRIMONIO NETO","","","","1","","Equity","ARS"
"EGRESOS","","","","1","Expense Account","Expense","ARS"
"INGRESOS","","","","1","Income Account","Income","ARS"
"Activo Corriente","ACTIVO","1100","","1","","Asset","ARS"
"Caja y Bancos","Activo Corriente","1110","1100","1","","Asset","ARS"
"Caja","Caja y Bancos","1111","1110","1","Cash","Asset","ARS"
"Caja ARS","Caja","111101","1111","0","Cash","Asset","ARS"
"Caja USD","Caja","111102","1111","0","Cash","Asset","USD"
"Bancos","Caja y Bancos","1112","1110","1","Bank","Asset","ARS"
"Banco ARS","Bancos","111201","1112","0","Bank","Asset","ARS"
"Banco USD","Bancos","111202","1112","0","Bank","Asset","USD"
"Inversiones temporarias","Activo Corriente","1130","1100","1","","Asset","ARS"
"Plazo fijo / Inversiones ARS","Inversiones temporarias","113001","1130","0","","Asset","ARS"
"FCI / Otras inversiones ARS","Inversiones temporarias","113002","1130","0","","Asset","ARS"
"Créditos por operaciones","Activo Corriente","1140","1100","1","Receivable","Asset","ARS"
"Cuotas sociales a cobrar","Créditos por operaciones","114001","1140","0","Receivable","Asset","ARS"
"Deudores por ventas","Créditos por operaciones","114002","1140","0","Receivable","Asset","ARS"
"Alquileres a cobrar","Créditos por operaciones","114003","1140","0","Receivable","Asset","ARS"
"Otros créditos","Activo Corriente","1150","1100","1","","Asset","ARS"
"Anticipos / gastos pagados por adelantado","Otros créditos","115001","1150","0","","Asset","ARS"
"Cobros Plus - a liquidar (ARS)","Otros créditos","115002","1150","0","","Asset","ARS"
"Activo No Corriente","ACTIVO","1200","","1","","Asset","ARS"
"Bienes de Uso","Activo No Corriente","1210","1200","1","Fixed Asset","Asset","ARS"
"Inmuebles","Bienes de Uso","121001","1210","0","Fixed Asset","Asset","ARS"
"Instalaciones","Bienes de Uso","121002","1210","0","Fixed Asset","Asset","ARS"
"Muebles y Útiles","Bienes de Uso","121003","1210","0","Fixed Asset","Asset","ARS"
"Equipamiento deportivo","Bienes de Uso","121004","1210","0","Fixed Asset","Asset","ARS"
"Amortización acumulada","Activo No Corriente","1290","1200","1","Accumulated Depreciation","Asset","ARS"
"Amort. acum. Inmuebles","Amortización acumulada","129001","1290","0","Accumulated Depreciation","Asset","ARS"
"Amort. acum. Instalaciones","Amortización acumulada","129002","1290","0","Accumulated Depreciation","Asset","ARS"
